GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Patterns-In-DSA,default,Driver,67,0,0,0,11,0,2,0,2,0
Patterns-In-DSA,twopointers,PairSumSorted,0,136,0,24,0,25,0,15,0,3
